english;polish
AA;Anonimowi Alkoholicy
AAA;Amerykański Związek Automobilowy
abacus;liczydło
abandon;zostawiać
abandonment;opuszczenie
abashed;zakłopotany
abate;zelżeć
abattoir;rzeźnia
abbess;przeorysza
abbey;opactwo
abbot;opat
abbreviate;skracać
abbreviated;skrócony
abbreviation;skrót
abdicate;abdykować
abdication;abdykacja
abdomen;brzuch
abdominal;brzuszny
abduct;uprowadzać
abduction;uprowadzenie
aberration;zboczenie
abet;wspomagać
abhor;nie cierpieć
abhorrence;nienawiść
abhorrent;znienawidzony
abide;trwać
abiding;długotrwały
ability;zdolność
abject;okropny
ablaze;w płomieniach
able;zdolny
able-bodied;dobrze zbudowany
ably;znakomicie
abnormal;nienormalny
abnormality;nieprawidłowość
abnormally;niezwykle
aboard;na pokładzie
abode;miejsce zamieszkania
abolish;obalić
abolition;obalenie
A-bomb;bomba atomowa
abominable;straszny
abominably;okropnie
abort;poronić
abortion;aborcja
abortive;nieskuteczny
abound;być w obfitości
about;o
about-turn;zwrot w tył
above;ponad
abrasion;otarcie
abrasive;szorstki
abreast;w szeregu
abridged;skrócony
abroad;za granicą
abrupt;nagły
abruptly;nagle
abscess;ropień
abscond;uciec
absence;nieobecność
absent;nieobecny
absentee;osoba nieobecna
absently;nieuważnie
absent-minded;roztargniony
absent-mindedly;przez roztargnienie
absolute;całkowity
absolutely;zupełnie
absolution;rozgrzeszenie
absolve;rozgrzeszać
absorb;wchłaniać
absorbent;wchłaniający
absorbing;pasjonujący
absorption;zainteresowanie
abstain;wstrzymywać się
abstemious;wstrzemięźliwy
abstention;wstrzymanie się od głosu
abstinence;abstynencja
abstract;abstrakcyjny
abstracted;wyobcowany
abstraction;abstrakcja
absurd;groteskowy
absurdity;absurd
abundance;obfitość
abundant;obfity
abundantly;niezwykle
abuse;nadużywać
abusive;obraźliwy
abysmal;okropny
abyss;otchłań
AC;prąd zmienny
a/c;konto
academic;naukowy
academy;akademia
accede;przychylać się
accelerate;przyspieszać
acceleration;przyspieszenie
accelerator;akcelerator
accent;dialekt
accentuate;kłaść nacisk na
accept;przyjmować
acceptable;uznawalny
acceptance;przyjęcie
access;dojście
accessible;dostępny
accession;akcesja
accessory;akcesoria
accident;przypadek
accidental;przypadkowy
accident-prone;podatny na wypadki
acclaim;wychwalać
acclimatize;aklimatyzować się
accolade;uznanie
accommodate;przyjmować
accommodating;uczynny
accommodation;miejsce
accompaniment;akompaniament
accompanist;akompaniator
accompany;towarzyszyć
accomplice;wspólnik
accomplish;dokonać
accomplished;znakomity
accomplishment;zdolność
accord;dawać
accordance;zgodnie z
accordingly;odpowiednio
according to;zgodnie z
accordion;akordeon
accost;zaczepić
account;sprawozdanie
accountability;odpowiedzialność
accountable;odpowiedzialny
accountancy;księgowość
accountant;księgowy
accredited;akredytowany
acct.;konto
accumulate;gromadzić
accumulation;nagromadzenie
accuracy;dokładność
accurate;wierny
accusation;oskarżenie
accuse;obwiniać
accused;oskarżony
accusing;oskarżycielski
accustom;przyzwyczajać
accustomed;zwykły
ace;as
ache;ból
achieve;osiągać
achievement;osiągnięcie
acid;kwas
acidic;kwasowy
acidity;kwasowość
ack.;potwierdzony
acknowledge;przyznawać
acknowledgement;przyznanie się
acne;trądzik
acorn;żołądź
acoustic;akustyczny
acoustics;akustyka
acquaint;zaznajamiać się
acquiesce;zgadzać się
acquire;zdobywać
acquisition;nabytek
acquit;uniewinniać
acquittal;uniewinnienie
acrid;palący
acrimonious;zażarty
acrimony;zażartość
acrobat;akrobata
acrobatic;akrobatyczny
across;przez
act;działać
acting;aktorstwo
action;działanie
activate;uruchamiać
active;aktywny
activist;działacz
activity;działalność
actor;aktor
actress;aktorka
actual;rzeczywisty
actuality;faktycznie
actually;naprawdę
acumen;żyłka
acute;ostry
AD;A.D.
ad;ogłoszenie
adamant;niewzruszony
Adam's apple;jabłko Adama
adapt;dostosowywać się
adaptability;przystosowalność
adaptable;łatwo dostosowujący się
adapter;rozgałęźnik
add;dodawać
add.;adres
adder;żmija
addict;narkoman
addicted;uzależniony
addiction;uzależnienie
addictive;powodujący uzależnienie
addition;dodatek
additional;dodatkowy
additive;dodatek
address;adres
adept;zręczny
adequacy;wystarczającość
adequate;wystarczający
adhere;przylegać
adherence;przestrzeganie
adherent;stronnik
adhesion;przylepność
adhesive;substancja klejąca
ad hoc;doraźny
adjacent;sąsiadujący
adjectival;przymiotnikowy
adjective;przymiotnik
adjoin;przylegać
adjourn;odraczać
adjournment;odroczenie
adjudged;uznawany za
adjudicate;wyrokować
adjunct;dodatek
adjust;dostosowywać się
adjustable;dostosowywalny
adjustment;regulacja
ad-lib;improwizować
administer;zarządzać
administration;administracja
administrative;administracyjny
administrator;administrator
admirable;znakomity
admiral;admirał
admiration;podziw
admire;podziwiać
admirer;wielbiciel
admiring;pełen podziwu
admissible;do przyjęcia
admission;przyjęcie
admit;przyznać się
admittance;zezwolenie na wejście
admittedly;wprawdzie
admonish;karcić
ado;bez ceregieli
adolescence;okres dojrzewania
adolescent;nieletni
adopt;adoptować
adoption;adopcja
adorable;miły
adoration;uwielbienie
adore;uwielbiać
adorn;przyozdabiać
adornment;ozdoba
adrift;dryfujący
adroit;biegły
adulation;czołobitność
adult;dorosły
adulterate;fałszować
adultery;zdrada
adulthood;dorosłość
advance;nadchodzić
advanced;zaawansowany
advancement;awans
advantage;przewaga
advantageous;korzystny
Advent;adwent
advent;nadejście
Adventist;adwentysta
adventure;przygoda
adventurer;awanturnik
adventurous;rzutki
adverb;przysłówek
adverbial;przysłówkowy
adversary;przeciwnik
adverse;niekorzystny
advert;reklama
advertise;reklamować
advertisement;reklama
advertiser;osoba firma reklamująca się
advertising;reklama
advice;rada
advisable;celowy
advise;radzić
adviser;doradca
advisory;doradczy
advocate;być zwolennikiem
advt.;ogłoszenie
aerial;powietrzny
aerodrome;lotnisko
aeroplane;samolot
aesthetic;estetyczny
afar;z oddali
affable;życzliwy
affair;sprawa
affect;mieć wpływ
affectation;afektacja
affected;afektowany
affection;uczucie
affectionate;uczuciowy
affiliated;afiliowany
affinity;bliskość
affirm;stwierdzać
affirmative;twierdzący
affix;umocować
afflict;udręczyć
affliction;udręka
affluence;dostatek
affluent;dostatni
afford;pozwolić sobie
affront;obraza
afield;z daleka
afloat;na powierzchni
afoot;szykowany
aforementioned;wyżej wspomniany
aforesaid;wyżej wspomniany
afraid;wystraszony
afresh;od nowa
Africa;Afryka
African;afrykański
after-effect;skutek późniejszy
aftermath;pokłosie
afternoon;popołudnie
aftershave;płyn po goleniu
afterthought;uzupełnienie
afterwards;później
again;znów
against;o
age;wiek
aged;w wieku
ageless;nie starzejący się
agency;agencja
agenda;rozkład dnia
agent;przedstawiciel
age-old;wiekowy
aggravate;pogarszać
aggregate;zespół
aggression;agresywność
aggressive;zaczepny
aggressor;agresor
aggrieved;zirytowany
aggro;napastliwość
aghast;przerażony
agile;zwinny
agility;zwinność
agitate;agitować
agitation;podniecenie
agitator;agitator
AGM;doroczne walne zgromadzenie
ago;temu
agog;podniecony
agonize;zadręczać się
agonizing;dręczący
agony;cierpienie
agree;zgadzać się
agreeable;przyjemny
agreement;umowa
agricultural;rolniczy
agriculture;rolnictwo
aground;na mieliznie
ah;och
aha;aha
ahead;w przód
ahoy;ahoj
AI;sztuczna inteligencja
aid;pomoc
aide;adiutant
AIDS;AIDS
ail;niedomagać
ailment;dolegliwość
aim;mierzyć
aimless;bezsensowny
air;powietrze
airborne;powietrzny
air-conditioned;klimatyzowany
aircraft;samolot
aircraft-carrier;lotniskowiec
airfield;małe lotnisko
airing;wietrzenie
airless;duszny
airline;linia lotnicza
airliner;samolot pasażerski
airmail;poczta lotnicza
airplane;samolot
airport;port lotniczy
airship;sterowiec
airsick;chory na chorobę lokomocyjną
airspace;przestrzeń powietrzna
airtight;szczelny
air-traffic control;kontrola lotów
airwaves;fale radiowe
airy;przestronny
aisle;przejście
ajar;uchylony
akin;podobny
Alabama;Alabama
alacrity;skwapliwie
alarm;przestrach
alarming;zatrważający
alarmist;panikarz
Alaska;Alaska
Albania;Albania
Albanian;albański
albeit;choć
albino;albinos
album;album
alcoholic;alkoholowy
alcove;alkowa
ale;ale
alert;ostrzegać
A-level;matura
Algeria;Algieria
Algerian;algierski
algorithm;algorytm
alias;pseudonim
alien;obcy
alienate;zrazić
alienation;wyobcowanie
alight;płonący
align;wyrównywać
alignment;wyrównanie
alike;podobny
alimony;alimenty
alive;żywy
alkali;zasada
all;wszyscy
Allah;Allach
allay;zredukować
allegation;domniemanie
allege;domniemywać
alleged;domniemany
allegiance;lojalność
allegorical;alegoryczny
allegory;alegoria
alleluia;alleluja
allergic;alergiczny
allergy;alergia
alleviate;zmniejszać
alleviation;zmniejszenie
alley;pasaż
alliance;przymierze
allied;sprzymierzony
alligator;aligator
all-in;całkowity
all-night;całonocny
allocate;przydzielać
allocation;przydział
allot;przydzielić
allotment;działka
all-out;bezpardonowy
allow;pozwalać
allowable;dopuszczalny
allowance;zasiłek
alloy;stop
all-powerful;wszechpotężny
all-round;wszechstronny
allspice;ziele angielskie
allude;robić aluzje
allure;powab
allusion;aluzja
ally;aliant
almighty;Bóg wszechmocny
almond;migdał
almost;prawie
aloft;w górze
alone;sam
along;wzdłuż
alongside;obok
aloof;samotniczy
aloud;głośno
alphabet;alfabet
alphabetical;alfabetyczny
alphanumeric;alfanumeryczny
alpine;alpejski
already;już
also;także
altar;ołtarz
alter;zmieniać się
alteration;zmiana
altercation;zwada
alternate;naprzemienny
alternately;na przemian
alternating;zmienny
alternation;następstwo
alternative;alternatywa
although;chociaż
altitude;wysokość
alto;alt
altogether;całkowicie
always;zawsze
a.m.;przed południem
AMA;Amerykańskie Towarzystwo Medyczne
amalgamate;łączyć się
amass;zgromadzić
amateur;hobbista
amateurish;domorosły
amaze;zadziwiać
amazement;zdumienie
amazing;zdumiewający
Amazon;Amazonka
ambassador;ambasador
amber;bursztyn
ambidextrous;oburęczny
ambiguity;niejednoznaczność
ambiguous;dwuznaczny
ambition;ambicja
ambitious;przebojowy
ambivalent;ambiwalentny
amble;przechadzać się
ambulance;karetka
ambush;zasadzka
ameliorate;ulepszać
amen;amen
amenable;skłonny
amend;poprawiać
amendment;poprawka
amenity;udogodnienie
America;Ameryka
American;amerykański
amiable;przyjazny
amicable;przyjacielski
amid;pośród
amiss;nie w porządku
ammonia;amoniak
ammunition;amunicja
amnesia;amnezja
amnesty;amnestia
among;pomiędzy
amoral;amoralny
amorous;erotyczny
amorphous;amorficzny
amount;ilość
amp;amper
amphibian;płaz
amphibious;ziemno-wodny
amphitheatre;amfiteatr
ample;duży
amplification;wzmocnienie
amplifier;wzmacniacz
amplify;wzmacniać
amply;obszernie
amputate;amputować
amputation;amputacja
amuse;rozbawiać
amused;rozbawiony
amusement;rozbawienie
amusing;zabawny
anachronism;anachronizm
anachronistic;anachroniczny
anaemia;anemia
anaemic;cierpiący na anemię
anaesthesia;anestezja
anaesthetic;środek znieczulający
anal;odbytowy
analgesic;środek przeciwbólowy
analogous;analogiczny
analogy;analogia
analyse;analizować
analysis;analiza
analyst;analityk
analytic;analityczny
anarchist;anarchista
anarchy;anarchia
anathema;klątwa
anatomical;anatomiczny
anatomy;anatomia
ancestor;przodek
ancestral;rodowy
ancestry;ród
anchor;kotwica
anchovy;sardela
ancient;starożytny
ancillary;pomocniczy
and;i
anecdote;anegdota
anemone;anemon
anew;od nowa
angel;anioł
angelic;anielski
anger;gniew
angle;kąt
angler;wędkarz
Anglican;anglikański
angry;zły
anguish;cierpienie
angular;kanciasty
animal;zwierzę
animate;ożywiony
animated;ożywiony
animation;ożywienie
animosity;niechęć
aniseed;anyż
ankle;kostka
annals;w annałach czegoś
annex;skrzydło
annexation;aneksja
annihilate;unicestwiać
annihilation;unicestwienie
anniversary;rocznica
announce;ogłaszać
announcement;zawiadomienie
announcer;spiker
annoy;złościć
annoyance;irytacja
annual;coroczny
annul;anulować
anoint;namaszczać
anomalous;nieprawidłowy
anomaly;anomalia
anon.;anonim
anonymity;anonimowość
anonymous;anonimowy
anorak;skafander
another;następny
ans.;odpowiedź
ANSI;Narodowy Amerykański Instytut Normalizacyjny
answer;odpowiadać
answerable;odpowiedzialny
ant;mrówka
antagonism;antagonism
antagonist;przeciwnik
antagonistic;przeciwny
antagonize;zrażać sobie
antarctic;antarktyczny
Antarctica;Antarktyda
antecedent;przodek
antelope;antylopa
antenatal;przedporodowy
anthem;hymn
anthology;antologia
anthropologist;antropolog
anthropology;antropologia
antibiotic;antybiotyk
